time,open,high,low,close,Volume,Volume MA,ATR
2026-02-01T15:28:00-08:00,25393,25424.75,25373.25,25424.75,3284,1394.95,24.54654212916498
2026-02-01T15:29:00-08:00,25424.75,25445.25,25423,25434.75,1759,1393.9,24.382503405653193
2026-02-01T15:30:00-08:00,25433.5,25445,25418.5,25430.25,1268,1341.3,24.53375316239225
2026-02-01T15:31:00-08:00,25430.25,25465.25,25430.25,25454,2391,1374.45,25.281342222221376
2026-02-01T15:32:00-08:00,25454.75,25480,25451.25,25479.75,1640,1382.55,25.529103492062706
2026-02-01T15:33:00-08:00,25479.75,25489,25465.25,25486.75,1826,1384.8,25.402024671201083
2026-02-01T15:34:00-08:00,25485.75,25492.25,25481.5,25490.75,877,1374.25,24.355451480401005
2026-02-01T15:35:00-08:00,25490.25,25510.25,25489.25,25509.25,1938,1401.75,24.115776374658076
2026-02-01T15:36:00-08:00,25510.25,25527.25,25509.25,25524,1719,1471.25,23.67893520503964
2026-02-01T15:37:00-08:00,25525,25529.25,25518,25523,1008,1492.7,22.79115411896538
2026-02-01T15:38:00-08:00,25523.5,25524.5,25503.75,25507.75,1312,1497.55,22.64535739618214
2026-02-01T15:39:00-08:00,25507,25520,25507,25518.75,703,1454.65,21.956403296454845
2026-02-01T15:40:00-08:00,25517.75,25520,25504.75,25511.75,781,1440.65,21.477374489565214
2026-02-01T15:41:00-08:00,25511.75,25520,25510.5,25516.75,481,1403.75,20.621847740310557
2026-02-01T15:42:00-08:00,25516.75,25520,25510.25,25511.5,410,1370.8,19.845287187431232
2026-02-01T15:43:00-08:00,25510.75,25542.75,25510.5,25539.5,1346,1389.5,20.731338102614718
2026-02-01T15:44:00-08:00,25540.25,25559,25539,25545.25,2110,1457.95,20.679099666713665
2026-02-01T15:45:00-08:00,25546,25564,25546,25549.5,1750,1491.55,20.541306833376975
2026-02-01T15:46:00-08:00,25550,25566.5,25549,25560,1370,1514.85,20.324070630992907
2026-02-01T15:47:00-08:00,25559,25570.75,25546.5,25546.75,1115,1454.4,20.604494157350555
2026-02-01T15:48:00-08:00,25546.5,25558.5,25546.5,25547.75,857,1333.05,19.989887431825515
2026-02-01T15:49:00-08:00,25548.75,25552.75,25542.25,25543.25,709,1280.55,19.312038329552262
2026-02-01T15:50:00-08:00,25543.5,25550,25533.25,25536.5,1337,1284,19.1290355917271
2026-02-01T15:51:00-08:00,25537,25541.75,25528.75,25535,775,1203.2,18.691247335175166
2026-02-01T15:52:00-08:00,25534.25,25555,25533.75,25547.5,1145,1178.45,18.874015382662655
2026-02-01T15:53:00-08:00,25547.25,25556.25,25543.5,25545.5,623,1118.3,18.436585712472468
2026-02-01T15:54:00-08:00,25545.75,25560.25,25540.75,25545.75,963,1122.6,18.51254387586729
