session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-11-02,06:30,13:00,14952.5,14869.0,83.5,14910.75,255168.0,747210.0,0.3414943590155378,15008.75,14869.0,14997.0,False,none,high,,,30.0,0.3592814371257485,10,14946.25,14904.0,42.25,14945.5,up,auction,14920.5,14922.0,1.5,7432.0
2023-11-03,06:30,13:00,15163.25,15040.25,123.0,15101.75,271839.0,814215.0,0.3338663620788121,15228.5,15040.25,15175.0,False,none,high,,,6.75,0.054878048780487805,10,15080.25,15040.25,40.0,15042.0,down,auction,15051.0,15051.0,0.0,7401.0
2023-11-06,06:30,13:00,15257.5,15184.5,73.0,15221.0,228151.0,670686.0,0.3401755814196211,15257.5,15138.0,15232.5,False,failed_low,low,,15236.75,52.25,0.7157534246575342,10,15257.5,15203.25,54.25,15246.75,up,auction,15204.25,15233.0,28.75,8972.0
2023-11-07,06:30,13:00,15344.25,15224.5,119.75,15284.375,254316.0,764400.0,0.3327001569858713,15412.75,15224.5,15375.75,False,none,high,,,14.75,0.12317327766179541,10,15287.0,15224.5,62.5,15235.75,down,auction,15275.75,15277.75,2.0,7335.0
2023-11-08,06:30,13:00,15417.75,15339.75,78.0,15378.75,248093.0,754186.0,0.328954661051783,15417.75,15286.5,15385.5,False,failed_low,low,,15394.5,54.75,0.7019230769230769,10,15416.0,15373.75,42.25,15408.75,up,auction,15388.5,15387.5,-1.0,6372.0
2023-11-09,06:30,13:00,15432.75,15352.5,80.25,15392.625,250458.0,1035384.0,0.2418986578892469,15453.25,15236.75,15258.25,True,failed_high,low,15236.75,,100.75,1.2554517133956387,10,15419.25,15366.75,52.5,15368.75,down,drive,15404.0,15402.5,-1.5,10047.0
2023-11-10,06:30,13:00,15389.0,15305.5,83.5,15347.25,271222.0,829962.0,0.32678845537506535,15605.0,15305.5,15600.75,False,none,high,,,5.25,0.06287425149700598,10,15350.0,15305.5,44.5,15344.5,up,auction,15328.0,15310.25,-17.75,6330.0
2023-11-13,06:30,13:00,15539.0,15465.25,73.75,15502.125,220222.0,666843.0,0.3302456500255682,15589.5,15465.25,15547.75,False,none,high,,,17.5,0.23728813559322035,10,15539.0,15493.5,45.5,15493.5,down,drive,15529.5,15529.5,0.0,5985.0
2023-11-14,06:30,13:00,15888.0,15790.0,98.0,15839.0,253015.0,723535.0,0.34969282757572195,15918.75,15790.0,15878.5,False,failed_high,high,15822.0,,66.0,0.673469387755102,10,15844.5,15790.0,54.5,15835.25,up,auction,15812.25,15816.0,3.75,9811.0
2023-11-15,06:30,13:00,15974.0,15905.75,68.25,15939.875,227054.0,773455.0,0.29355812555352284,15977.25,15832.5,15890.5,True,failed_high,high,15832.5,,141.5,2.0732600732600734,10,15974.0,15936.0,38.0,15953.5,down,auction,15957.0,15951.75,-5.25,6251.0
